,per_loss
195,0.65080875
196,0.5581212
197,0.77241874
198,0.5954634
199,0.52604795
200,0.64783263
201,0.69874084
202,0.81733465
203,0.77178097
204,0.62306005
205,0.69576204
206,0.6480921
207,0.648399
208,0.6113535
209,0.60937977
210,0.5704547
211,0.614568
212,0.57977474
213,0.5805918
214,0.5759127
215,0.6107145
216,0.6052261
217,0.58866847
218,0.5662337
219,0.5951944
220,0.605628
221,0.6460279
222,0.5703115
223,0.60580796
224,0.6496236
225,0.5354603
226,0.7692026
227,0.76611155
228,0.64838976
229,0.64707136
230,0.6281785
231,0.616112
232,0.61593664
233,0.68333715
234,0.7490346
235,0.6468211
236,0.58677363
237,0.5923091
238,0.6904089
239,0.5479021
240,0.6272815
241,0.59217525
242,0.7575208
243,0.743881
244,0.64881706
245,0.5217409
246,0.5128702
247,0.5458678
248,0.5141201
249,0.6351879
250,0.66559017
251,0.59341204
252,0.59387386
253,0.55469894
254,0.6101637
255,0.68192697
256,0.7215564
257,0.6174988
258,0.5995354
259,0.6526484
260,0.7067021
261,0.5748414
262,0.62547946
263,0.70799553
264,0.58566713
265,0.6804763
266,0.57271296
267,0.70971835
268,0.5638664
269,0.7107515
270,0.7071184
271,0.6473535
272,0.69766575
273,0.6508039
274,0.57643694
275,0.623961
276,0.5131113
277,0.64698076
278,0.6299441
279,0.6543859
280,0.7938756
281,0.7700933
282,0.61841834
283,0.5914024
284,0.6012765
285,0.5818523
286,0.56856245
287,0.6132832
288,0.62779564
289,0.5803062
290,0.5980962
291,0.5823641
292,0.69023323
293,0.60474473
294,0.5760395
295,0.58812666
296,0.67314446
297,0.7464591
298,0.5702523
299,0.6869737
300,0.71679145
301,0.6543673
302,0.6206876
303,0.7220091
304,0.6183923
305,0.66645265
306,0.5006789
307,0.49907646
308,0.657921
309,0.60609275
310,0.6071412
311,0.6797105
312,0.67869717
313,0.6107453
314,0.6260448
315,0.59589916
316,0.6576827
317,0.73824435
318,0.77106553
319,0.56656283
320,0.7529311
321,0.6308628
322,0.58463126
323,0.7026094
324,0.5878695
325,0.5968131
326,0.68890846
327,0.6834059
328,0.60359824
329,0.69335395
330,0.57964647
331,0.6824038
332,0.7967696
333,0.66550994
334,0.6429715
335,0.5321109
336,0.6597018
337,0.61675656
338,0.703845
339,0.63276136
340,0.5894409
341,0.7010614
342,0.6092834
343,0.52988297
344,0.4921123
345,0.5419801
346,0.4937608
347,0.49168667
348,0.5554749
349,0.49626318
350,0.5088438
351,0.5056859
352,0.5200198
353,0.5299557
354,0.49669582
355,0.53818893
356,0.5472626
357,0.5262947
358,0.5418576
359,0.51616305
360,0.5292112
361,0.5038638
362,0.538022
363,0.5133151
364,0.51449513
365,0.533594
366,0.5179727
367,0.51577276
368,0.49040207
369,0.512639
370,0.5561386
371,0.51094174
372,0.5432476
373,0.56285626
374,0.5283768
375,0.5450578
376,0.5484401
377,0.5104968
378,0.52889407
379,0.5246136
380,0.5154646
381,0.50528955
382,0.5494509
383,0.50310016
384,0.51957303
385,0.49917242
386,0.48381945
387,0.51264083
388,0.54122293
389,0.54043114
390,0.52397114
391,0.52043706
392,0.5071085
393,0.52310413
394,0.5250517
395,0.542075
396,0.5375175
397,0.5140873
398,0.525362
399,0.56273663
400,0.52408725
401,0.52148074
402,0.51706564
403,0.5543539
404,0.548347
405,0.5336648
406,0.5122782
407,0.56961924
408,0.5199525
409,0.5149394
410,0.5105121
411,0.536484
412,0.5552492
413,0.50945926
414,0.5449033
415,0.49514544
416,0.5145372
417,0.51622397
418,0.5210341
419,0.5378497
420,0.5316067
421,0.5164729
422,0.5007415
423,0.5142069
424,0.5006366
425,0.53691864
426,0.5189518
427,0.5265237
428,0.5165032
429,0.5152853
430,0.52721107
431,0.5211296
432,0.5333847
433,0.51967204
434,0.53534913
435,0.52166706
436,0.49471283
437,0.53897995
438,0.531716
439,0.5068114
440,0.5159393
441,0.50075763
442,0.53214663
443,0.5306834
444,0.52370375
445,0.50785005
446,0.5104842
447,0.5066561
448,0.53017443
449,0.519666
450,0.5391431
451,0.5369563
452,0.50300956
453,0.54035586
454,0.5249788
455,0.49928555
456,0.51076424
457,0.5273806
458,0.50555676
459,0.52945524
460,0.51824564
461,0.566054
462,0.53821373
463,0.510244
464,0.5136154
465,0.5354713
466,0.53237134
467,0.5102045
468,0.5352042
469,0.50873613
470,0.5158628
471,0.49209383
472,0.5158637
473,0.5201734
474,0.50467277
475,0.50501573
476,0.54824364
477,0.5088159
478,0.51016945
479,0.51477
480,0.5025174
481,0.52505475
482,0.51566076
483,0.52053976
484,0.54387724
485,0.55741745
486,0.5020521
487,0.53956896
488,0.52083015
489,0.52441406
490,0.5274324
491,0.51285
492,0.4951701
493,0.5196729
494,0.5140414
495,0.517259
496,0.50369227
497,0.53234273
498,0.5559739
499,0.5351558
500,0.5239603
501,0.54451865
502,0.5140345
503,0.5186764
504,0.5325603
505,0.5287899
506,0.51217484
507,0.5409016
508,0.5745339
509,0.5393607
510,0.5211988
511,0.5174016
512,0.5087292
513,0.5208197
514,0.50276345
515,0.5349087
516,0.5205693
517,0.48418
518,0.5175606
519,0.522562
520,0.522702
521,0.52648735
522,0.52700907
523,0.5469623
524,0.4916316
525,0.5186076
526,0.5165489
527,0.52960896
528,0.5410229
529,0.5421552
530,0.4926714
531,0.4921557
532,0.510655
533,0.48219466
534,0.51160467
535,0.5216297
536,0.51797646
537,0.5048055
538,0.5073798
539,0.49920088
540,0.5311504
541,0.5327409
542,0.5336834
543,0.52181363
544,0.51192796
545,0.5319571
546,0.5081343
547,0.51577944
548,0.5465843
549,0.49301
550,0.49269703
551,0.5113828
552,0.53771186
553,0.5128948
554,0.5216887
555,0.528353
556,0.552742
557,0.54111665
558,0.5130244
559,0.5154183
560,0.51183796
561,0.4829696
562,0.50471926
563,0.5246972
564,0.52003086
565,0.507553
566,0.5347644
567,0.5363287
568,0.48879033
569,0.51818633
570,0.5454623
571,0.530552
572,0.49866402
573,0.5263876
574,0.50864464
575,0.53873646
576,0.53582186
577,0.5068043
578,0.50807863
579,0.50498474
580,0.5103351
581,0.52188444
582,0.5195016
583,0.5266166
584,0.508264
585,0.51725245
586,0.5296161
587,0.51454586
588,0.5280657
589,0.5438027
590,0.4966749
591,0.52789384
592,0.49876437
593,0.5021445
594,0.50531006
595,0.52527636
596,0.52650636
597,0.5111938
598,0.5123251
599,0.5343567
600,0.5146452
601,0.51132506
602,0.51898086
603,0.5015414
604,0.50039244
605,0.5261507
606,0.5507362
607,0.31398475
608,0.32957184
609,0.3045753
610,0.27625042
611,0.3137884
612,0.30026665
613,0.29048467
614,0.29526642
615,0.29763925
616,0.29811522
617,0.2952847
618,0.31772292
619,0.3181424
620,0.2878469
621,0.27542198
622,0.32634532
623,0.32619977
624,0.32701367
625,0.30318767
626,0.29864722
627,0.29446653
628,0.27828398
629,0.31742725
630,0.30627286
631,0.31369492
632,0.28719202
633,0.30783355
634,0.31541967
635,0.32740366
636,0.28721648
637,0.29171112
638,0.27103698
639,0.31173918
640,0.3257686
641,0.30647182
642,0.31532747
643,0.26810515
644,0.30799443
645,0.30217832
646,0.34686857
647,0.2930828
648,0.30024058
649,0.3317999
650,0.32442772
651,0.29279727
652,0.28068155
653,0.28536925
654,0.31909883
655,0.31137607
656,0.30108327
657,0.31446606
658,0.27840817
659,0.29047307
660,0.33789524
661,0.31432793
662,0.31278837
663,0.3147405
664,0.31171823
665,0.3034963
666,0.3434355
667,0.30438137
668,0.32435843
669,0.32260594
670,0.34024388
671,0.30075917
672,0.27069744
673,0.31506446
674,0.3176321
675,0.29209894
676,0.28235877
677,0.31382453
678,0.30349496
679,0.30445066
680,0.30445957
681,0.29820228
682,0.2992045
683,0.30745327
684,0.28517488
685,0.27988404
686,0.3045988
687,0.2924167
688,0.27732676
689,0.30856353
690,0.34007755
691,0.30159414
692,0.30785188
693,0.30029717
694,0.29976594
695,0.315928
696,0.3254423
697,0.29808402
698,0.26816607
699,0.26635787
700,0.2968927
701,0.30239514
702,0.31350994
703,0.29064763
704,0.3205829
705,0.28603923
706,0.30373836
